# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49
o0	1.0	0.0	4.0	0.0	0.0	1.0	6.0	0.0	67.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	2.0	2.0	4.0	1.0	2.0	5.0	50.0	3.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	12.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	1.0	0.0	0.0	0.0
o1	1.0	0.0	4.0	0.0	0.0	1.0	6.0	0.0	67.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	2.0	2.0	4.0	1.0	2.0	5.0	50.0	3.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	12.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	1.0	0.0	0.0	0.0
o2	2.0	22.0	0.0	7.0	0.0	0.0	0.0	1350.0	0.0	0.0	4.0	17.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	17.0	0.0	0.0	0.0	207.0	0.0	0.0	8.0	13.0	0.0	44.0	0.0	4.0	0.0	3.0	46.0	3.0	128.0	0.0	7.0	0.0	51.0	7.0	17.0	0.0	2.0	0.0	3.0	498.0	0.0
o3	97.0	1.0	63.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	15.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	459.0	14.0	0.0	0.0	33962.0	1476.0	173.0	0.0	0.0	4.0	5400.0	0.0	0.0	5.0	0.0	0.0	2.0	43.0	0.0	3.0	0.0	0.0
o4	97.0	1.0	63.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	15.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	459.0	14.0	0.0	0.0	33962.0	1476.0	173.0	0.0	0.0	4.0	5400.0	0.0	0.0	5.0	0.0	0.0	2.0	43.0	0.0	3.0	0.0	0.0
o5	0.0	0.0	0.0	3.0	3.0	0.0	9.0	0.0	5.0	0.0	0.0	23.0	0.0	10.0	124.0	225.0	0.0	0.0	0.0	0.0	12.0	0.0	9.0	0.0	4.0	10.0	85.0	0.0	0.0	18.0	0.0	1.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	3.0	0.0	81.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	15.0
o6	1.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	8.0	35.0	2.0	2.0	247.0	0.0	134.0	94.0	0.0	40.0	520.0	0.0
o7	1.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	8.0	35.0	2.0	2.0	247.0	0.0	134.0	94.0	0.0	40.0	520.0	0.0
o8	0.0	0.0	1.0	60.0	0.0	5.0	0.0	22.0	0.0	739.0	0.0	34.0	1.0	22.0	0.0	0.0	68.0	188.0	7.0	2.0	2.0	1.0	35.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	3947.0	10.0	0.0	0.0	106.0	2.0	434.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	16.0	0.0	0.0	0.0	2.0
o9	0.0	1.0	69.0	0.0	0.0	1.0	3.0	57.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	0.0	2.0	159.0	11.0	0.0	7.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	3.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	48.0	3.0	1.0	0.0	0.0	0.0	7.0
o10	0.0	1.0	69.0	0.0	0.0	1.0	3.0	57.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	0.0	2.0	159.0	11.0	0.0	7.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	3.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	48.0	3.0	1.0	0.0	0.0	0.0	7.0
o11	76.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	1.0	30.0	1.0	4.0	17.0	3.0	8.0	0.0	0.0	59.0	3.0	0.0	0.0	25.0	0.0	3.0	1.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	358.0	0.0	7.0	0.0	2.0	42.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	10.0	0.0	0.0
o12	50.0	24.0	424.0	0.0	2.0	2.0	0.0	73.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	27.0	0.0	0.0	2.0	0.0	0.0	23.0	20.0	1.0	2.0	0.0	0.0	57.0	0.0	0.0	136.0	10.0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	300.0	3.0
o13	50.0	24.0	424.0	0.0	2.0	2.0	0.0	73.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	27.0	0.0	0.0	2.0	0.0	0.0	23.0	20.0	1.0	2.0	0.0	0.0	57.0	0.0	0.0	136.0	10.0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	300.0	3.0
o14	0.0	1.0	0.0	211.0	0.0	2.0	2.0	0.0	0.0	61.0	0.0	0.0	1.0	3.0	10.0	0.0	0.0	0.0	1.0	0.0	119.0	0.0	16.0	0.0	0.0	63.0	0.0	0.0	4.0	0.0	5.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	20.0	145.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
o15	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	38.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	281.0	0.0	0.0	15.0	0.0	0.0	9.0	0.0	0.0	1421.0	0.0	2.0	2.0	4.0	30.0	0.0	8.0	0.0	32.0	0.0	1.0	0.0	0.0	7.0	3.0	0.0	286.0	1.0	0.0	483.0	2.0	0.0	0.0	1.0
o16	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	38.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	281.0	0.0	0.0	15.0	0.0	0.0	9.0	0.0	0.0	1421.0	0.0	2.0	2.0	4.0	30.0	0.0	8.0	0.0	32.0	0.0	1.0	0.0	0.0	7.0	3.0	0.0	286.0	1.0	0.0	483.0	2.0	0.0	0.0	1.0
o17	7.0	0.0	0.0	0.0	1.0	3.0	8.0	992.0	17.0	7.0	140.0	0.0	3.0	1762.0	100.0	0.0	94.0	0.0	0.0	0.0	51.0	130.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	19.0	53.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
o18	0.0	0.0	0.0	0.0	0.0	5.0	1.0	1.0	14.0	322.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1875.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	144.0	41.0	0.0	0.0	0.0	1.0	0.0	0.0	16.0	0.0	475.0	28.0	0.0	1.0	0.0	0.0	0.0	13.0	73.0	0.0	0.0	13.0
o19	0.0	0.0	0.0	0.0	0.0	5.0	1.0	1.0	14.0	322.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1875.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	144.0	41.0	0.0	0.0	0.0	1.0	0.0	0.0	16.0	0.0	475.0	28.0	0.0	1.0	0.0	0.0	0.0	13.0	73.0	0.0	0.0	13.0
o20	84.0	4.0	1.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	16.0	3.0	0.0	18.0	0.0	929.0	2.0	86.0	0.0	17.0	0.0	0.0	3.0	0.0	37.0	0.0	0.0	26.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	392.0	0.0	0.0
o21	0.0	0.0	4211.0	0.0	0.0	0.0	17.0	0.0	1.0	0.0	2.0	0.0	44.0	0.0	4.0	33.0	0.0	35.0	0.0	0.0	0.0	17.0	8.0	261.0	8.0	1.0	0.0	0.0	0.0	0.0	7.0	1058.0	6.0	82.0	0.0	24.0	0.0	0.0	0.0	0.0	15.0	84.0	1.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0
o22	0.0	0.0	4211.0	0.0	0.0	0.0	17.0	0.0	1.0	0.0	2.0	0.0	44.0	0.0	4.0	33.0	0.0	35.0	0.0	0.0	0.0	17.0	8.0	261.0	8.0	1.0	0.0	0.0	0.0	0.0	7.0	1058.0	6.0	82.0	0.0	24.0	0.0	0.0	0.0	0.0	15.0	84.0	1.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0
o23	0.0	3.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	15.0	0.0	2.0	0.0	0.0	23.0	0.0	29.0	0.0	0.0	11.0	0.0	22.0	0.0	0.0	0.0	0.0	2.0	2543.0	340.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	4.0	0.0	0.0	6.0	0.0	20.0	1.0	0.0	1.0	20.0	0.0
o24	281.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	6.0	29.0	1.0	0.0	0.0	0.0	0.0	61.0	2.0	15.0	5.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	71.0	2.0	648.0	0.0	0.0	0.0	46.0	74.0	0.0	0.0	56.0	18.0	0.0
o25	281.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	6.0	29.0	1.0	0.0	0.0	0.0	0.0	61.0	2.0	15.0	5.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	71.0	2.0	648.0	0.0	0.0	0.0	46.0	74.0	0.0	0.0	56.0	18.0	0.0
o26	0.0	5.0	0.0	22.0	0.0	23.0	0.0	1.0	0.0	16.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	3.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	61.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	7.0	22.0
