# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49
o0	0.0	0.0766707354287	0.0	0.0	0.0	0.0	0.0	0.0	4.37311409455e-05	0.0	0.0	0.0402164188642	0.0014013028329	0.0	0.0	5.87388763253e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39086500966e-05	0.0	0.0	0.0	0.000178157847853	0.0	0.0	0.0	9.63507166085e-06	0.0	0.0	9.12408759124e-05	0.0	0.0	4.32096098172e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.81125058113e-05	0.0	0.0
o1	0.0	0.0	0.0	0.0	0.0	4.28926825084e-05	0.0	0.0	0.000131193422836	3.27890353466e-05	0.0	0.0	0.0	0.0359346435101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52324950244e-05	0.0	0.0	0.0	0.0	0.0	4.6557102286e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00270891737802	0.0	0.0	0.00205999585563	0.0	0.0	0.0	0.0	3.23881394633e-05	0.0	0.0	0.0	0.0	0.0
o2	0.0	0.00019072322246	0.000163704396632	0.0	0.0	0.0	0.015185244077	0.0	0.0	0.0	0.0	0.0	0.0	5.71297989031e-05	0.000209248796819	0.0	0.0	0.0018115334295	0.0	0.0	0.00016485328058	0.000316627465171	0.0	0.0	0.0	0.0	0.0	0.000838027841147	0.0	0.000993360171485	0.00344020916472	0.0	0.000886426592798	0.357152616478	0.0	0.0	0.00255142218162	0.000142633005277	6.48144147258e-05	0.0	0.000841215453743	0.0	0.0	0.000149120190874	0.0	0.0	0.0	0.000232450023245	0.0	1.73469564765e-05
o3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.97495989398e-05	0.0	9.7385207187e-05	0.0	0.0	0.0	0.0	0.000180929980098	0.0	0.0	0.00478111966363	0.0	0.0	0.0	0.00561197220738	0.0	0.0	0.000453491887534	0.0	0.0	0.0	0.000912408759124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o4	0.0281121986304	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.9730727037e-05	0.000109902187054	0.0	0.0	0.0	0.0	0.0	1.59548159612e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000251992314234	0.0	0.000496910512898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.37311409455e-05	0.0	0.0	0.0	0.0	0.0	0.000278998395759	0.0	0.0	0.00134187661445	0.0	0.0	0.0	0.0	0.000522302308576	0.0	0.0	0.0	3.19096319224e-05	0.000325899716002	0.0	0.00433941548596	0.0	0.0	2.89052149825e-05	0.0	0.0	0.0	0.0	0.00520610469263	0.0	0.00101171394093	0.0	4.51589595376e-05	0.049206217272	5.96480763495e-05	0.0	0.0	0.000114988788593	0.0	0.0	0.0
o6	0.0	3.81446444919e-05	0.0	0.0	0.0	0.0005147121901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.70938307223e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.31142045719e-05	0.0	0.0	0.000183477822118	0.0	0.0	0.0	0.0	0.0	0.0	0.000285266010555	0.0	0.0	2.05174500913e-05	0.0	0.0	8.94721145243e-05	0.0	0.0	0.0	0.0273128777313	0.0	0.0
o7	0.0	3.81446444919e-05	0.0	0.0	0.0	0.0	0.0	7.14285714286e-05	0.0	0.0	0.00174973753937	0.0	0.0	0.000171389396709	0.000209248796819	0.000146847190813	0.0	0.0	0.0	2.49326817593e-05	5.49510935268e-05	0.0	0.0	0.0	0.0	0.0	0.000478644478836	0.0	0.00204881525031	0.0	0.000321086188707	0.00080620780006	0.0	0.0	0.000740049551144	0.0	0.0	0.0	0.0163764421207	2.4378649179e-05	2.05174500913e-05	0.0	0.0	0.0	9.716441839e-05	0.0	0.0	0.0	0.0	0.0
o8	0.000437787297914	0.00541653951785	0.0	0.000154793969227	0.000933450472216	0.0	0.0	0.0	0.0	0.0	0.0	0.000553827802156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52324950244e-05	0.0	0.000482718671558	0.0	0.0	0.0	0.0	0.0	0.0	0.000458694555296	0.0	0.0	0.0	0.0	0.000912408759124	0.0	0.00320924261874	0.0	0.0	2.05174500913e-05	0.0	0.000124677915385	0.0	0.0	0.0	0.0	0.0	0.0	0.000121428695335
o9	0.0	0.0	0.000210477081384	0.0	0.0	0.0	0.0	0.000785714285714	0.0	0.0	0.000299955006749	0.000127806415882	0.0	0.0	6.97495989398e-05	0.0	0.0	0.00238183099064	5.52130302751e-05	0.0	0.0	0.0	0.0	9.65437343116e-05	0.000271269200773	0.0	0.0	0.0	0.00026723677178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.29980785586e-05	0.00256739409499	0.000237652853995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o10	0.0	0.0	0.0	0.0	0.00142763013398	0.0	0.0	0.0	0.0	0.0	0.00179973004049	0.0	0.0	0.000971206581353	0.0	0.0	0.0	0.0	2.76065151376e-05	0.000822778498055	0.0	0.0	0.00088791392458	0.000482718671558	0.00420467261198	0.0	0.0	0.0	0.0	0.0	4.58694555296e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51589595376e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o11	0.0	0.0	0.000724976613658	3.09587938454e-05	0.0	8.57853650167e-05	7.95038956909e-05	0.0141428571429	0.0	0.000885303954358	0.0	0.0	0.000151492198152	0.0	0.0	0.0	0.0	0.000335469153611	0.0	0.0	0.00131882624464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0218016416584	0.0	0.0	0.0	0.0	0.0	0.0	6.29980785586e-05	0.000213949507916	0.0	0.000134082570485	0.0	0.0	0.0	0.0	0.0	0.00124933071569	0.0	0.0	0.0	0.0
o12	0.0	0.0	0.0	0.00148602210458	0.0	0.0	0.000159007791382	0.0	0.0	0.0	0.000199970004499	0.0	0.0	0.0	0.000488247192579	0.0	0.0	6.70938307223e-05	0.0	0.0	0.0	0.0	0.000261151154288	0.0	0.0	0.0	0.0	0.0	0.00187065740246	0.0	9.17389110591e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112897398844	0.0	0.0	0.0	0.0	0.000114988788593	0.0	0.0	0.0
o13	0.0	0.00171650900214	0.0	0.0	0.000274544256534	0.0	0.0	0.0	8.74622818909e-05	0.0	0.0	0.0	0.0	0.000171389396709	0.0	0.0022027078622	0.0	0.000134187661445	0.0	0.0	0.0	0.0	0.0	0.0	0.00515411481469	0.00550946331346	0.0	0.0	0.0	0.000522821142887	0.0	0.0	0.0	0.000318804936922	0.0	0.0	0.0	0.0	0.000280862463812	6.09466229476e-05	0.0	0.0	0.0	0.000119296152699	0.0	0.0	0.0	0.0	0.0	0.000173469564765
o14	0.0	0.0	0.0	0.0	0.0	0.000772068285151	0.0	0.0	0.00113700966458	0.00714800970555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000156690692573	0.00260668082641	0.0	0.0	0.0	4.6557102286e-05	0.0	0.000209128457155	0.000321086188707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199019265886	0.0	0.0	0.0	0.00038865767356	0.000356951633054	0.0	5.81125058113e-05	0.0	0.0
o15	0.0	0.0	0.0	0.0	0.000109817702614	0.000171570730033	0.0	0.0	0.0	0.0	0.00914862770584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020345190058	0.0	0.0	0.0	0.00222697309816	0.0	0.0	0.0	4.81753583042e-06	0.0	0.0	0.0	0.0	0.0	0.0188609946852	0.0	0.0	4.51589595376e-05	0.000166237220514	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000557413600892	0.0	0.0	0.0	0.0	0.0	0.000293694381626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6557102286e-05	0.0	0.0	0.0	0.000100775975008	0.0	0.0	3.2176067441e-05	0.000456204379562	0.0	0.0	0.0	0.0	0.00182605305813	9.03179190751e-05	0.0	0.0	0.0	0.000118983877685	0.0	0.0	0.0	0.0
o17	0.0	0.0	4.67726847521e-05	0.0	0.0	0.304966972634	0.0	0.0	0.00441684523549	0.0	0.0	0.0	0.0	0.0	0.000557996791518	0.0	0.000340848225155	0.0	0.0	0.0	0.000549510935268	0.0	0.0	0.0474995172813	0.0	0.0	1.59548159612e-05	0.0	8.90789239266e-05	0.0	0.0	0.000100775975008	0.0	0.0	0.0	0.000273722627737	0.00277191545658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61940697317e-05	0.0	0.0	0.0	0.0	0.0
o18	0.0	0.0	0.0	0.0	0.00466725236108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00386503708346	0.0	0.0	0.00570391495981	0.0	0.000139671306858	0.0	0.0	0.000458694555296	0.0	0.0	0.0	0.0	0.0926094890511	0.0	0.0	2.16048049086e-05	0.000182839868843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000581125058113	0.000441964532346	0.0
o19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000349849127564	0.000229523247426	0.0	0.0	0.0	0.0	0.00111599358304	0.00167405797527	0.0	3.35469153611e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000458694555296	5.03879875038e-05	0.0	0.0	0.0	0.0	9.44971178379e-05	0.0	0.0	2.4378649179e-05	0.0	0.000135476878613	0.0	0.0	0.000259105115707	0.0	0.0	0.0	0.0	0.0
o20	0.0	0.0	0.0	0.0284511315439	0.000658906215682	0.0	0.00405469868024	0.0	0.000131193422836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000452324950244	0.0	0.0	0.0	0.137866217267	0.0	0.0	0.0	0.0	0.0	0.00251939937519	7.70805732868e-05	0.0	6.43521348821e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000135476878613	0.0	0.0	0.0	0.199535962877	0.0	0.00232450023245	0.000276227832716	0.0
