# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79
o0	4	-10	-10	-3	-1	-4	-4	-3	-1	-4	-1	1	-3	-10	5	-9	-9	-10	-4	-4	-10	-10	-10	-10	-10	-9	-3	4	4	-3	-10	-4	2	-10	-10	-1	-3	5	-4	-10	2	-10	-10	-1	-10	-10	5	-4	0	1	-3	-4	-10	1	1	-9	6	-10	-9	-1	3	-9	0	-10	-9	-10	-3	-3	-10	0	-10	-10	5	-10	-3	1	5	-9	-10	1
o1	0	3	1	-9	0	-10	-10	4	-1	-1	3	-10	5	3	-10	-1	5	-10	0	4	3	3	-10	-4	-10	-9	4	2	5	-9	-10	-10	-10	-1	-10	3	1	-1	6	-10	-10	-10	-3	5	0	-4	-10	-4	-4	-4	6	2	-4	-1	-10	-3	-10	2	-3	3	-3	-3	-10	-10	-9	2	0	3	-10	-3	-4	-10	-9	-4	5	-10	2	-3	1	-10
o2	-9	-10	-10	-9	1	4	-4	-9	6	3	-1	-10	-10	3	1	-9	4	-4	4	-10	0	3	-4	1	-10	1	-10	2	4	-3	-4	-10	5	-10	-10	0	1	-10	-4	0	1	-10	-10	1	-10	0	5	3	1	-4	-1	-10	5	-1	-10	2	-1	-4	-9	-3	-3	6	0	-10	7	1	-10	-10	2	-9	-4	-10	0	-4	-3	-4	-9	5	-1	7
o3	-3	-1	-4	0	-10	-1	0	0	-1	-1	-4	-10	0	1	0	-9	-9	-10	7	2	-10	-4	-10	-4	2	-9	-10	-10	-9	5	-10	-10	4	-4	-4	-10	4	3	0	-4	0	4	3	-3	-10	-10	-10	1	-10	-4	-9	-4	-10	-4	5	0	-1	-10	-3	-10	2	0	6	-10	4	-10	2	8	-10	-9	-10	2	-9	-4	-1	-10	-9	-9	5	-1
o4	-9	4	-4	-9	-4	-10	2	4	-10	1	-1	-4	-10	4	1	-1	-1	-10	3	-10	1	3	2	-4	5	4	-3	-1	5	-9	-10	-4	-3	-1	-10	-3	-9	-3	-10	2	-10	-3	-10	-9	2	-10	-10	-10	0	-4	-9	-4	1	-10	-10	3	5	3	-3	1	0	1	-4	1	2	-10	-3	-10	-10	-9	-4	-1	3	0	-3	-4	2	-3	-4	-10
o5	-9	0	0	0	4	5	5	-9	-10	3	-10	3	3	6	-10	-9	-3	4	-4	2	0	-1	-10	-10	-10	3	4	-10	-3	2	-10	4	-10	1	-4	-1	-9	0	4	-4	-4	3	-10	-9	5	-10	-4	-1	-4	-10	2	-10	-4	4	-4	-9	-4	-10	-3	0	-3	-1	0	3	-3	-1	2	-3	7	1	2	-10	4	2	0	1	-9	5	-10	-4
o6	0	3	-10	-1	-10	-4	-1	-3	-10	-10	3	-10	-3	4	6	-3	-9	0	-10	-10	-4	-4	1	-10	4	-9	-10	-10	-3	-3	-4	-10	2	5	2	-10	-3	-10	3	-10	-4	-10	-3	-3	-4	-10	0	-10	-10	6	2	-10	-10	4	-10	-3	-10	-10	-9	-1	1	-3	0	-4	0	-10	-3	-10	-10	-3	1	2	-9	-10	-3	3	1	5	-4	-10
o7	0	-10	1	-3	1	0	-1	-9	-1	3	1	-10	-10	-1	-10	-9	-9	-10	4	-10	0	5	3	-10	-10	3	-10	2	-9	-9	3	-10	-3	5	1	-10	-9	-10	3	1	4	1	-1	-9	-1	-10	-10	-10	2	-4	-3	4	6	-10	3	-9	-4	-10	-9	-10	0	2	-4	3	0	-4	-10	2	-1	6	-10	3	4	0	-3	-4	-3	-9	-10	1
o8	5	-10	-4	-9	3	3	-10	-9	3	3	-1	-4	-10	-10	-4	-9	0	-4	-10	-4	-10	-10	-4	-4	3	-9	-10	-4	-9	-3	-10	1	-3	-10	-1	5	3	-3	2	-1	-10	-10	5	-9	2	-10	-10	-1	-10	0	3	-10	2	-4	-4	3	-4	-10	-9	-10	0	-3	-10	-10	-9	-1	-10	-10	3	-3	-1	0	5	1	3	5	-3	-3	0	-4
o9	-3	1	-4	-3	-10	-1	-10	5	0	-10	5	-4	-10	-10	-10	-3	-9	5	0	-4	-10	-10	2	-10	-10	0	-10	3	-9	-9	4	-1	-1	0	4	-1	0	-3	-10	-1	-4	-10	-10	4	-10	1	-10	-10	1	5	3	2	-4	0	-4	-9	2	-10	5	-10	-3	-3	-1	2	-9	5	5	-1	2	-3	-10	0	-3	-10	5	2	-3	-9	-10	-10
