# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79
o0	14.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	4.0	1.0	0.0	36.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	13.0	14.0	1.0	0.0	1.0	5.0	0.0	0.0	2.0	1.0	43.0	1.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	52.0	1.0	3.0	5.0	1.0	1.0	0.0	5.0	4.0	0.0	169.0	0.0	0.0	2.0	8.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	32.0	0.0	1.0	5.0	39.0	0.0	0.0	5.0
o1	3.0	11.0	4.0	0.0	3.0	0.0	0.0	19.0	2.0	2.0	8.0	0.0	39.0	10.0	0.0	2.0	31.0	0.0	3.0	13.0	9.0	8.0	0.0	1.0	0.0	0.0	17.0	7.0	22.0	0.0	0.0	0.0	0.0	2.0	0.0	9.0	4.0	2.0	186.0	0.0	0.0	0.0	1.0	29.0	3.0	1.0	0.0	1.0	1.0	1.0	52.0	6.0	1.0	2.0	0.0	1.0	0.0	6.0	1.0	11.0	1.0	1.0	0.0	0.0	0.0	6.0	3.0	11.0	0.0	1.0	1.0	0.0	0.0	1.0	29.0	0.0	6.0	1.0	4.0	0.0
o2	0.0	0.0	0.0	0.0	4.0	19.0	1.0	0.0	67.0	8.0	2.0	0.0	0.0	8.0	4.0	0.0	15.0	1.0	15.0	0.0	3.0	8.0	1.0	4.0	0.0	4.0	0.0	7.0	20.0	1.0	1.0	0.0	48.0	0.0	0.0	3.0	4.0	0.0	1.0	4.0	5.0	0.0	0.0	4.0	0.0	3.0	36.0	11.0	4.0	1.0	2.0	0.0	42.0	2.0	0.0	5.0	2.0	1.0	0.0	1.0	1.0	65.0	3.0	0.0	306.0	5.0	0.0	0.0	5.0	0.0	1.0	0.0	3.0	1.0	1.0	1.0	0.0	47.0	2.0	628.0
o3	1.0	2.0	1.0	3.0	0.0	2.0	3.0	3.0	2.0	2.0	1.0	0.0	3.0	4.0	3.0	0.0	0.0	0.0	695.0	7.0	0.0	1.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	15.0	1.0	1.0	0.0	12.0	11.0	3.0	1.0	3.0	19.0	8.0	1.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	1.0	0.0	1.0	27.0	3.0	2.0	0.0	1.0	0.0	5.0	3.0	143.0	0.0	12.0	0.0	6.0	1780.0	0.0	0.0	0.0	5.0	0.0	1.0	2.0	0.0	0.0	0.0	24.0	2.0
o4	0.0	18.0	1.0	0.0	1.0	0.0	6.0	13.0	0.0	4.0	2.0	1.0	0.0	19.0	4.0	2.0	2.0	0.0	11.0	0.0	4.0	10.0	6.0	1.0	25.0	13.0	1.0	2.0	44.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	7.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	4.0	0.0	0.0	7.0	25.0	9.0	1.0	4.0	2.0	4.0	1.0	5.0	5.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	8.0	3.0	1.0	1.0	7.0	1.0	1.0	0.0
o5	0.0	3.0	3.0	3.0	16.0	49.0	25.0	0.0	0.0	10.0	0.0	10.0	10.0	74.0	0.0	0.0	1.0	13.0	1.0	5.0	3.0	2.0	0.0	0.0	0.0	9.0	13.0	0.0	1.0	7.0	0.0	20.0	0.0	4.0	1.0	2.0	0.0	3.0	19.0	1.0	1.0	8.0	0.0	0.0	32.0	0.0	1.0	2.0	1.0	0.0	5.0	0.0	1.0	13.0	1.0	0.0	1.0	0.0	1.0	3.0	1.0	2.0	3.0	11.0	1.0	2.0	6.0	1.0	375.0	4.0	6.0	0.0	13.0	6.0	3.0	4.0	0.0	30.0	0.0	1.0
o6	3.0	12.0	0.0	2.0	0.0	1.0	2.0	1.0	0.0	0.0	10.0	0.0	1.0	14.0	75.0	1.0	0.0	3.0	0.0	0.0	1.0	1.0	4.0	0.0	18.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	7.0	33.0	7.0	0.0	1.0	0.0	11.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	0.0	75.0	5.0	0.0	0.0	16.0	0.0	1.0	0.0	0.0	0.0	2.0	4.0	1.0	3.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	4.0	5.0	0.0	0.0	1.0	8.0	4.0	42.0	1.0	0.0
o7	2.0	0.0	4.0	1.0	4.0	3.0	2.0	0.0	2.0	9.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	14.0	0.0	3.0	48.0	10.0	0.0	0.0	8.0	0.0	7.0	0.0	0.0	8.0	0.0	1.0	35.0	5.0	0.0	0.0	0.0	8.0	5.0	20.0	4.0	2.0	0.0	2.0	0.0	0.0	0.0	6.0	1.0	1.0	14.0	155.0	0.0	9.0	0.0	1.0	0.0	0.0	0.0	2.0	5.0	1.0	8.0	3.0	1.0	0.0	5.0	2.0	61.0	0.0	10.0	16.0	3.0	1.0	1.0	1.0	0.0	0.0	4.0
o8	31.0	0.0	1.0	0.0	9.0	10.0	0.0	0.0	11.0	11.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	8.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	1.0	0.0	2.0	25.0	11.0	1.0	6.0	2.0	0.0	0.0	22.0	0.0	6.0	0.0	0.0	2.0	0.0	3.0	10.0	0.0	7.0	1.0	1.0	8.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	11.0	1.0	2.0	3.0	22.0	5.0	9.0	24.0	1.0	1.0	3.0	1.0
o9	1.0	5.0	1.0	1.0	0.0	2.0	0.0	24.0	4.0	0.0	34.0	1.0	0.0	0.0	0.0	1.0	0.0	26.0	3.0	1.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	9.0	0.0	0.0	21.0	2.0	2.0	3.0	16.0	2.0	3.0	1.0	0.0	2.0	1.0	0.0	0.0	15.0	0.0	4.0	0.0	0.0	4.0	41.0	7.0	6.0	1.0	3.0	1.0	0.0	6.0	0.0	50.0	0.0	1.0	1.0	2.0	7.0	0.0	36.0	41.0	2.0	5.0	1.0	0.0	3.0	1.0	0.0	27.0	6.0	1.0	0.0	0.0	0.0
