# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49
o0	47.4079387373	127.571106105	1.87921253054	93.6877841401	169.834045497	18.0094785143	7.78442089518	167.500108162	46.5389452947	3.28058792027	19.7484665472	116.58340405	63.1229967275	59.8398640017	303.410639468	164.742013261	183.081684563	159.052691105	49.7243103276	87.3095739154	36.7043766272	15.0885390732	6.93353172673	48.8810993745	133.735919673	178.648590418	37.7496962526	1.13669740781	24.8016299055	19.0108794802	19.5562056188	4.15320060643	48.90477526	216.944372857	190.116030381	65.9805517408	11.4689051294	57.2746446111	55.7442215892	25.7727697926	203.503436005	64.1967334555	207.576306272	31.7985208173	218.138952048	115.748906883	178.649606918	191.278050094	40.9586474106	20.1452113006
o1	37.8872624402	27.5217613356	132.309584044	184.21342171	192.373468304	55.1218954661	1.09863698327	61.2856223035	148.471888319	197.899050476	107.130846775	364.458324682	52.3368615202	243.478859613	40.4773498194	286.395987391	286.174970847	187.63655337	46.12007991	136.182831109	325.615671569	15.7341319172	120.195366778	12.8680317214	276.833377708	20.2574440793	12.3574056523	170.590853866	65.3287510816	127.140093224	10.7997107772	9.30956069425	72.2301367078	187.522693696	200.664604018	0.369906640551	13.576809084	76.0027450616	278.414283724	50.8212413786	151.472109772	19.5142157258	170.250541592	69.2306068345	61.1837003267	23.2639082836	147.917815032	10.5287308551	58.4045787861	89.9373296168
o2	21.9932699876	188.72068003	8.75707533068	75.3837998164	134.955528672	145.491028747	56.0607990466	216.658765356	80.2675761284	18.4927738213	114.722844807	270.12150759	184.773287664	45.5385674889	49.5366784811	78.3927073458	399.759556916	218.6535086	72.5775042189	233.179007981	350.285940248	1.19337799408	6.25412470078	42.6715144947	516.92145204	5.06943928758	46.5698770423	231.263885496	3.99083801536	37.0203395682	1.26152711728	9.40114324533	47.88176702	119.826985136	274.06458221	111.532501501	25.2711299911	14.8522702138	137.575831067	172.50564949	45.966277734	28.5427062015	150.130383239	9.51773339205	71.9132523939	56.1769560045	161.579697554	132.668557983	100.623140041	74.4242187375
o3	129.261436015	40.2764149919	387.692946426	205.280179796	83.5180249667	0.160007408545	20.5572409988	94.6090026121	236.056851709	117.273195937	116.554439921	85.0288354194	60.4354022522	28.7008696048	97.5695016839	16.0629395482	22.0538968508	70.2682312739	33.4041645364	81.5290335784	192.2071187	37.0177232661	22.9888228511	144.047938598	4.61282941538	65.7987240923	141.603485332	31.8092695305	173.872777285	60.0660289165	22.2180948168	58.2975940978	37.1645102684	29.2692752256	156.290194096	148.886157659	121.224476341	84.0767613971	134.099078099	41.462140584	16.9123646419	76.5476204944	170.159238097	464.884008438	61.9935179219	217.484698708	56.3744636191	14.8929570293	38.7158166111	12.2240629768
o4	44.8325342979	134.05457979	191.316992266	90.4494689923	7.21779651526	23.5804857012	51.1206703758	94.2202184345	88.0149783887	64.8614797947	140.021511876	51.9174636794	69.9043663055	315.431339832	29.9888826759	2.61163006267	8.88329396122	123.335894611	140.433510011	29.1683302848	133.664391535	97.0039250922	69.9199486213	16.4813868944	16.7046202998	46.8181796564	148.2184148	102.594634697	1.78709163436	251.948473501	522.226681446	9.67807872936	0.380376280304	252.645699494	76.7583461664	160.161742129	152.908561949	58.7503939961	137.369065855	60.0957082795	84.96505199	15.3063754741	238.566740302	176.3924992	290.146638819	4.76899614683	3.18575412049	130.76365034	72.9333546285	64.8642079759
o5	294.201897954	113.378003905	186.264953512	251.365278435	27.5722313772	20.2885884964	82.837340603	144.765425936	96.1964799431	119.665496073	70.833121892	147.223598496	28.2988181609	48.9999791561	63.8110636948	11.5394155229	135.132628878	38.5479277004	89.5987004745	38.4782602631	117.886831474	147.733328042	92.8116862753	88.9142897055	29.6231769691	20.3117832207	143.327211844	176.684860213	175.909024217	50.9209773813	112.718922832	25.0860604145	4.0534025975	75.7875880999	68.2919751833	260.791835281	133.2602426	82.9200726373	119.564351638	21.9748442252	93.6163876742	36.205910263	216.883546537	95.9190486586	528.805616259	261.203303389	23.2261636633	77.2439108679	59.7317007481	15.9763696973
o6	189.079411513	42.4245218407	119.234317362	18.8872392085	57.5320881858	34.4313499552	548.414166248	68.1084624709	4.8233029968	13.5442938242	671.937806153	283.029053088	138.707572547	1.29364788693	39.1923171074	231.354558558	24.2173087632	264.855627981	105.126787678	162.266203511	266.995343076	115.221765079	78.7948814357	43.0521142541	122.150357377	14.9078318682	107.480421106	27.4936418339	263.76111313	58.7593597097	77.2761707613	14.049550443	29.2912596264	50.232539941	33.7870243511	9.53993950223	126.118408902	46.4580798736	150.469708888	132.196986217	28.9830724482	52.0677346157	184.692676946	16.265351748	10.5745776075	40.8665668002	32.9338605901	161.950126573	64.1341254921	118.416415541
o7	61.1501451244	167.194172491	16.6382655056	22.7414999801	49.8424492033	39.45152689	198.273597549	12.4459499346	34.6129915867	98.2879057688	37.8816068279	136.032174331	17.5103374925	254.542647258	94.03976585	327.155046404	164.754003615	15.7676244758	135.173789543	203.596375283	112.467375509	38.3023843927	91.9254793391	130.349480576	33.6585609901	12.8268957204	234.981646532	70.7314410054	92.5825485008	73.0083863986	72.8755864452	57.4894416075	70.1323913958	4.60054855423	1.51819820863	130.902682868	77.03980351	18.4483068591	5.14326542425	56.2377876014	34.9009785057	168.103801538	52.2192169135	105.643560304	16.0503244031	120.625690874	100.872530412	163.272896848	121.162811431	26.0308688386
o8	185.7228898	41.5301937733	35.3419564532	48.4081758977	87.0598794509	8.49655886814	183.009563512	11.8994794853	63.9688149561	84.9052537742	156.372749195	91.6343518038	36.5002301038	195.637559809	133.888630831	467.185417734	52.9012273691	140.34947803	135.224379274	128.468787598	155.639928868	83.3644907221	104.325128913	178.602266704	86.994097922	8.53069534191	46.3423772953	30.9319309561	269.412794051	31.6531354085	71.6449364608	17.4260814117	37.3905914772	3.79033302688	1.17309554308	110.336417271	92.149136539	20.1447708068	16.2857541418	172.508793516	125.103121891	61.7569976115	420.073490207	189.41577485	29.4622312655	325.344805719	222.884022214	106.772402643	85.5322797407	118.079266809
o9	234.852725026	54.2008122346	7.42212864383	18.7274301546	108.383749554	66.5073649071	56.1548514368	492.758762455	56.0668431681	2.06589457621	35.1401961209	120.243177853	9.27567286718	52.3473034389	71.4421281056	105.440187561	107.810557369	257.413855999	319.48438019	122.294521072	65.0800169598	72.0882622253	71.0141766596	4.0244707912	42.0506532062	44.2975403574	100.08613115	159.298134484	617.966477956	146.214005352	167.476832474	21.8861527932	117.654479588	133.449581375	60.9025914188	47.5465064193	273.621323433	0.0555350703483	63.0014367863	31.5016887918	234.272051665	219.265185498	11.3645113456	84.1609720091	95.8095834791	13.2272023108	82.8022069839	204.345090122	91.1555947518	124.919873918
