# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49
o0	235.271921241	8.36763520729	37.0194162799	75.2815166749	87.3918894966	67.8652664864	67.7245361747	83.5343855937	100.344732228	68.1915708288	101.414196456	135.092862015	83.7700376163	23.3226249284	329.873664346	14.488877775	7.61244455504	25.2458126239	85.2053223248	52.7094521506	4.03003167254	36.4762364642	7.99163853396	19.80414491	4.90311496317	43.5624320025	52.0240236625	228.663517547	235.567280905	75.5968136201	34.5611630426	49.5120309299	160.389245928	43.0910364246	7.39948546237	97.0876040274	57.8431192896	351.062523507	79.3073196011	11.8118107191	163.56883215	42.2187786231	29.5215518929	88.5792725229	13.5363943198	6.25734940166	373.677391024	46.002250308	124.246527464	161.799320682
o1	114.747199093	219.444099	148.430807196	31.3085494387	123.677832764	10.8523612594	7.70614457688	264.323988371	101.009052867	87.3780950494	185.626624039	33.3215661024	339.456985981	204.035354725	8.47695539985	96.4698138377	314.782703639	45.1079731025	122.470547636	228.285257078	196.418224521	192.673988234	1.05192837895	75.285474146	4.51100671503	26.0247825675	255.708499146	182.411776905	281.472413246	5.60084770061	38.1946401448	3.96854701401	19.8344450534	90.6818817532	17.1643965712	195.595077023	147.365491311	95.0991458651	540.679197293	11.6999195203	1.15867518677	38.9981588559	67.449472385	307.941168968	114.828087354	79.2412865451	17.7765567568	50.9182716634	64.902762445	53.4301516266
o2	33.6782181539	27.2150118468	18.4379749548	12.548606621	133.314950637	267.333833835	66.8781253216	9.65002756535	402.92784538	187.690954623	88.5084974083	39.5715493714	17.8368986638	193.378024152	138.378714288	33.5258820376	245.229245138	63.0371412169	240.85835748	11.2408531018	123.954352764	185.909403848	62.0595863138	142.723601788	5.67452463502	146.706409252	39.4493998622	184.066098275	268.633002084	67.422152355	58.3876896728	6.38211574962	364.415657458	27.7823044632	0.982958752424	118.680257002	143.676953869	2.30532602163	49.6787382934	146.947037051	160.507989405	2.12065061585	33.9961874062	140.901843657	25.3886969336	131.375481576	331.404977313	212.994349805	138.954441146	47.5551330461
o3	52.7022484291	88.7626699839	52.8682181844	117.662641659	8.66490847712	99.751099295	114.156176442	123.880141445	94.0145701376	92.1377894742	48.611058377	19.8987478419	116.441586993	147.962246635	115.108166064	7.9029477527	40.9061180806	19.7905654294	753.421461741	180.869669334	0.479947840803	52.3966822068	15.4094756369	53.7078173655	170.393558566	42.7099258347	31.1364641349	12.7825408007	17.9254338302	290.678881436	28.7848241495	39.8903644653	242.315357936	48.9019047403	68.5236076366	20.4838593786	223.962614173	214.97470084	117.354363312	84.1610767462	123.021430294	265.971402243	191.418040978	68.6906816318	5.70682416422	0.333489410232	16.0102090882	157.087617255	18.0080228382	58.7251067918
o4	41.0778864459	260.032949635	51.9543792853	34.9940531685	69.5022485815	35.9437735597	171.523174125	229.486839158	20.4420812369	134.848421488	95.9112597285	69.5842541638	34.4965370237	263.735948719	134.804047594	95.652826372	98.6925280193	45.2945213387	218.902421843	7.64629804148	137.521471713	208.223077367	170.642805913	67.474996913	293.579158071	230.567351286	73.4586097695	103.269683827	354.383494576	5.79322813009	24.8170406018	75.3869458657	81.7955808503	96.6849604047	30.9363771432	80.0050118911	25.6869501665	56.531670888	41.8826694995	179.111256132	28.6426647707	61.8278302493	4.16319417574	31.318484267	176.519418159	0.795374909683	35.9277955309	29.8029038331	131.08565546	45.8113213868
o5	25.3254644433	120.758467055	123.020125123	121.533212933	250.450755966	365.254934723	294.008625241	27.9550807595	41.8282916657	210.864857705	40.3229414882	204.616263467	208.473025534	414.689031193	13.0575816276	20.9808566688	77.3415251768	231.034063548	52.1887058869	149.408933415	128.48085011	106.981770759	34.7192447358	42.7420129318	36.3468192696	196.996249104	228.768259193	9.09008996364	76.785417981	176.29576565	24.8636963121	270.393486697	26.1571087815	141.984736937	72.2826094222	100.143985509	39.5100334884	121.169958038	267.714011264	56.9121152584	47.1758498525	191.586937587	6.10713424109	37.0703834558	319.171911771	20.9835218304	49.0160707131	89.5652485045	60.8006630581	19.6744202134
o6	131.758494384	226.837890841	0.936655825422	96.7310599654	5.53667310749	53.5032601901	101.040201094	61.885254836	33.3989422947	4.10525369684	208.859157736	24.9257668657	84.5027076213	236.985407467	416.529231075	45.5012936149	1.90913149998	132.057055384	40.4355783483	14.0090567354	59.0174921383	59.8474387176	132.650894114	38.2728330404	257.889600297	6.56520232838	13.5478099676	38.0363162748	58.9712475271	53.4750928929	57.8189680834	25.672479785	179.606524011	321.389795462	183.626760534	1.18669824275	73.6869184035	4.76452601758	213.317598391	26.5936821306	70.4551131827	3.92797994953	78.8143309707	81.3338268304	59.4384798805	34.9662980521	118.767548159	40.8011043514	6.49420877326	417.888069894
o7	92.1680507393	43.8351942991	133.354438949	63.1888813146	141.174087148	117.348152665	105.394843899	15.5613715362	88.7158947781	199.810007535	144.371623599	3.96295549543	12.3436978314	106.916862814	6.81670966687	30.842062831	16.5860461044	8.90813614044	236.041707403	30.7800223667	116.440566767	362.470952033	207.080418063	24.5629962604	18.368607649	186.881846303	33.0513783073	181.708291407	5.38201403906	39.0262300563	186.255111889	31.4241696573	54.0314503158	327.307910188	161.015969744	29.7255344962	24.0508720786	43.8277946155	185.57510051	149.475434702	268.438731986	133.494734347	103.347615888	39.2884408394	103.282278736	41.8827648865	0.342124764492	37.1345613225	173.796775603	72.6353913773
o8	316.091513399	2.6311930107	70.8900511451	20.3043110552	195.269843549	207.983673131	17.2294074931	28.4506419193	215.621368152	218.39452128	103.07686832	70.2131711012	6.37014822745	3.25519680253	73.2048965547	17.8707987678	115.538136083	51.4991546003	33.3202140664	47.6828068708	2.5838896247	11.1946018757	85.8559356799	58.9119666793	185.490550917	3.16375334423	2.25185415598	54.6462468935	4.22171961568	51.0606469421	38.1154381586	154.810920564	60.3173525128	15.7077136414	94.8954763777	293.33896869	213.808688389	58.0919449453	166.55265561	94.3863415237	17.8526383396	34.0562344879	280.636537314	32.7178768666	167.361895055	14.5755177965	15.9560681653	105.148634021	21.3188176166	120.540604115
o9	53.9451836526	157.477179979	59.1086509145	64.1035468231	32.828308471	104.336487445	15.0990639461	287.214144173	141.465296736	42.8182280732	323.00426657	50.7675939892	12.0007735741	2.61977456306	33.5894406781	79.0707008209	35.6552314007	295.98665619	114.302649395	49.4367860413	42.3473859285	11.6906158964	172.992108424	18.077704278	19.6629025573	120.975710586	30.7121032221	197.707265632	29.3650733135	32.0046092157	274.090477681	94.8743334878	108.32062875	129.156209302	248.141817784	108.997956113	122.576258549	58.2773276042	0.801451239715	105.708332126	67.0952284047	29.63333696	24.471914584	242.232104447	17.7346680594	140.608135758	4.19403885241	22.5662689296	136.162314636	344.213095066
