# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12
o0	153.0	194.0	201.0	216.0	228.0	166.0	209.0	268.0	256.0	286.0	256.0	250.0	273.0
o1	147.0	132.0	198.0	218.0	242.0	186.0	206.0	237.0	260.0	222.0	242.0	226.0	249.0
o2	122.0	183.0	208.0	0.0	204.0	0.0	249.0	0.0	0.0	247.0	223.0	252.0	255.0
o3	143.0	224.0	253.0	225.0	197.0	271.0	253.0	233.0	240.0	210.0	254.0	197.0	262.0
o4	239.0	234.0	245.0	217.0	205.0	234.0	187.0	266.0	241.0	216.0	242.0	262.0	263.0
o5	146.0	0.0	0.0	235.0	218.0	0.0	285.0	230.0	243.0	255.0	0.0	201.0	267.0
o6	172.0	197.0	161.0	187.0	223.0	248.0	216.0	220.0	266.0	241.0	248.0	155.0	199.0
o7	141.0	166.0	173.0	234.0	226.0	213.0	233.0	281.0	207.0	216.0	235.0	154.0	132.0
o8	172.0	195.0	232.0	210.0	260.0	281.0	248.0	0.0	271.0	189.0	0.0	0.0	138.0
o9	192.0	187.0	291.0	219.0	268.0	249.0	243.0	164.0	207.0	149.0	163.0	121.0	111.0
o10	259.0	260.0	278.0	285.0	198.0	250.0	181.0	188.0	182.0	174.0	128.0	134.0	53.0
o11	0.0	0.0	199.0	0.0	261.0	203.0	242.0	223.0	158.0	148.0	0.0	85.0	83.0
o12	140.0	196.0	217.0	208.0	230.0	226.0	114.0	63.0	107.0	88.0	43.0	72.0	173.0
o13	156.0	215.0	289.0	242.0	200.0	120.0	32.0	62.0	71.0	36.0	98.0	97.0	85.0
o14	157.0	156.0	204.0	261.0	224.0	221.0	205.0	0.0	0.0	36.0	68.0	86.0	82.0
o15	299.0	259.0	156.0	181.0	153.0	78.0	18.0	38.0	135.0	103.0	211.0	195.0	261.0
o16	226.0	242.0	241.0	84.0	78.0	53.0	46.0	9.0	73.0	154.0	93.0	228.0	180.0
o17	0.0	187.0	0.0	172.0	74.0	33.0	55.0	64.0	70.0	159.0	213.0	243.0	217.0
o18	176.0	245.0	216.0	226.0	239.0	153.0	64.0	83.0	59.0	55.0	116.0	225.0	271.0
