# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49
o0	526.908259876	539.407811992	263.07427965	767.753956879	631.951058096	645.233074763	1004.50642138	726.2707948	355.272695464	753.19947017	415.984779744	670.225088875	647.167534234	709.577073098	666.253043032	818.299380247	331.654969089	317.032013732	458.075616341	555.36599177	373.787364758	751.164656777	802.940018873	465.813185643	308.965735396	509.547017	341.210822022	543.060661254	166.965287923	557.73018695	535.841315569	449.624983095	1146.11685495	530.823327304	892.003645555	562.998466907	274.251537703	833.04222544	517.768012963	390.06351378	637.345716459	626.838960568	103.657110049	1146.11685495	447.588468118	491.166722472	297.447940233	1146.11685495	431.049871033	708.296408486
o1	545.432447409	551.227140525	275.876834008	782.697932757	641.290466217	660.133751078	1033.17377867	732.524331901	361.526830715	756.644347547	423.493094031	674.885655087	654.613618179	728.529873883	677.865088689	832.348600326	346.8882778	322.189640157	468.578448935	564.578925977	392.755838692	772.281853142	817.404367524	485.012143301	321.467178671	518.913532123	347.541404702	546.383826362	181.140289815	566.772472171	549.771892587	464.137776613	1151.27606381	537.042944056	901.054570987	580.492549933	281.355472916	845.968265465	528.314838456	398.605387603	644.898611709	644.664266731	112.049091117	1151.27606381	450.94358028	500.126366327	308.403719505	1151.27606381	443.4112043	719.165803769
o2	386.684941471	545.880651399	325.180326085	515.121764761	582.800117218	902.2909768	961.037250253	548.52475857	487.686906846	763.770657234	805.964830094	550.159295576	662.610355776	915.79681885	693.245095003	664.917331672	790.643371978	382.443066191	619.289343553	855.580198604	552.385997594	961.329416054	294.718893917	816.666691814	534.365370307	338.572865343	397.542970962	454.37011802	187.735277672	362.76169744	42.7236867238	456.993662639	1015.94387698	459.632060614	610.421552728	339.806230265	879.973192599	926.987837547	940.614522768	453.183638636	913.229744585	350.133696246	225.82867708	599.509199339	205.191756084	629.809288413	365.761441634	536.431696282	604.472691763	375.831230414
o3	399.547561064	541.120399157	335.969356154	533.489748202	597.434516641	908.734085261	973.476249638	554.497736058	507.525941714	772.778627282	815.574126892	554.818702429	669.64843041	927.907783354	702.620502731	675.99560935	798.863866117	398.048434037	638.288133169	867.202121516	568.972699245	970.850344523	306.701747999	830.413144526	549.670694596	356.662545357	412.492862014	466.235372237	193.516523531	382.977909604	46.7383044553	470.255772874	1031.51088047	471.045469084	612.601773296	350.949766178	889.548126735	940.432018941	954.47480967	469.570818243	925.686598968	363.020675224	235.631741917	603.36930896	214.825199637	647.68583186	382.633792905	541.474213539	610.18318707	374.732459344
o4	317.198821243	570.561964571	382.537027819	580.779698345	712.984613389	515.383569585	1301.00173077	878.359193243	673.812610398	995.989521425	660.97084525	906.550324523	790.637595446	401.921033227	648.09924496	642.171739231	330.420057256	693.560969365	574.527512532	675.505196664	216.569675016	345.950626618	617.818059248	258.935179554	418.039485257	644.260268414	664.003681904	884.878488617	278.657565088	682.59656947	490.922725336	422.370616062	112.262565204	771.758641328	865.931845056	374.592511912	598.058508148	691.562687558	605.553446175	608.711628811	781.035243279	397.50064189	457.215827853	105.91549047	831.31053709	649.151066993	469.148323997	105.915000961	491.092479882	697.864383973
o5	333.317864534	582.716240586	389.322878708	599.87080238	725.583515353	531.790399994	1312.05529421	891.085196232	678.436507551	1007.4995236	667.726234551	917.032423779	802.377686957	422.286331936	662.89236986	661.801027023	340.230067018	696.683864026	584.081547916	686.368281055	229.658376236	368.613235133	637.3722104	274.181420331	425.629220813	654.218261919	668.396369201	891.74960541	284.206945213	693.38495633	504.34665453	434.283500738	112.426805819	780.171380538	884.002115002	390.859715907	601.488897761	710.81226125	616.445667937	615.555827689	792.633936599	415.36258027	457.729146124	113.646705406	836.119201448	658.457039347	475.519476075	113.646255895	501.2373839	713.093313693
o6	1271.59903573	669.036861564	497.344529674	321.430103646	456.914572757	113.7849581	937.707027501	783.608433779	728.319333046	296.733329403	304.449900068	818.815002479	727.128468887	842.964203528	678.166689413	693.924656905	657.966079438	697.815005794	692.175067586	779.54899072	168.847304204	663.700350013	633.973305359	550.118710885	918.829557672	688.092367423	497.412198423	418.833939989	183.19120269	768.400279354	488.602141307	744.611047706	381.21281313	755.08871225	652.260214964	252.773758045	622.562692775	598.228347485	113.7849581	524.109144347	686.529412382	492.598500358	677.414412193	688.345502535	428.554672374	113.7849581	489.862280038	290.290407774	507.277429027	823.834169476
o7	1281.41831597	678.949507652	499.535926149	335.584709891	466.025421364	133.761285048	951.959096111	798.830110991	740.186339152	307.042059695	307.875178333	827.346394712	732.938388234	859.496868716	680.353100844	702.388968953	661.700574817	709.836634284	707.224800935	793.011237335	174.168907076	682.259190562	644.844572332	555.6200068	930.510114529	695.862350594	499.671969445	435.902888089	191.655885682	784.409936043	496.70948462	762.72494007	387.525616986	763.638270522	679.491192167	263.494911518	636.024695279	607.369347888	133.761285048	537.500779637	697.126162867	503.253085328	687.937972903	699.348889855	437.328745228	133.761285048	498.828373888	298.146769457	512.195991105	841.867984437
o8	526.364626076	530.980060671	299.674110244	725.574528647	606.555593734	622.597253347	1048.13000707	683.091710872	371.388062685	703.250761977	423.498059349	634.604863328	617.677922825	680.215105341	637.370561532	767.256110822	359.428082383	338.296451453	461.490805006	542.099525757	398.105982082	717.056238668	754.715978724	475.626334657	337.966713804	503.738297726	359.640711716	526.590054453	220.130433709	543.936050755	529.837102384	457.911244875	1245.49214426	518.851409864	824.792600896	555.782437077	304.061992802	778.656639528	511.681623069	402.626994853	609.519627679	609.710560415	161.863246574	1245.49214426	446.404534396	487.938386907	326.93273732	1245.49214426	440.416023645	672.042445933
o9	545.566978741	542.702464459	313.527260162	739.90082776	615.180259839	637.33700486	1072.904312	687.940203828	377.634518039	704.884209256	430.906210875	637.898507198	624.146377732	699.204619953	648.385435376	780.400131219	375.717620425	343.471366054	472.060091394	550.872429657	418.377564702	738.288526239	768.378050627	495.806827764	351.313215925	512.85402747	366.02487673	528.880024948	235.867028962	552.510872304	543.913426259	472.957720925	1254.01150081	524.398418028	832.118018428	573.706909216	311.555671248	790.49999882	522.074858152	411.278557546	616.143483599	627.761775819	171.427340691	1254.01150081	449.08950003	496.672293522	338.609127247	1254.01150081	453.147394141	682.075683581
