# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79
o0	4	0	0	1	2	1	1	1	1	1	1	2	1	0	5	0	0	0	1	1	0	0	0	0	0	0	1	4	4	1	0	1	3	0	0	2	1	6	1	0	3	0	0	2	0	0	6	1	2	3	1	1	0	3	2	0	8	0	0	2	3	0	2	0	0	0	1	1	0	2	0	0	6	0	1	3	5	0	0	3
o1	2	4	2	0	2	0	0	5	1	2	3	0	5	4	0	2	5	0	2	4	3	3	0	1	0	0	4	3	5	0	0	0	0	1	0	3	3	2	8	0	0	0	1	5	2	1	0	1	1	1	6	3	1	2	0	1	0	3	1	4	1	1	0	0	0	3	2	4	0	1	1	0	0	1	5	0	3	1	2	0
o2	0	0	0	0	2	5	1	0	6	3	1	0	0	3	2	0	4	1	4	0	2	3	1	2	0	2	0	3	5	1	1	0	6	0	0	2	3	0	1	2	3	0	0	3	0	2	5	4	2	1	2	0	6	2	0	3	2	1	0	1	1	6	2	0	8	3	0	0	3	0	1	0	2	1	1	1	0	6	1	9
o3	1	2	1	2	0	2	2	2	1	2	1	0	2	2	2	0	0	0	9	3	0	1	0	1	3	0	0	0	0	5	0	0	4	1	1	0	4	4	2	1	2	5	3	1	0	0	0	3	0	1	0	1	0	1	5	2	2	0	1	0	3	2	7	0	4	0	3	11	0	0	0	3	0	1	2	0	0	0	4	1
o4	0	4	1	0	1	0	3	4	0	2	1	1	0	4	2	2	2	0	3	0	2	3	3	1	5	4	1	2	6	0	0	1	1	1	0	1	0	1	0	3	0	1	0	0	3	0	0	0	2	1	0	1	2	0	0	3	5	3	1	2	2	2	1	3	3	0	1	0	0	0	1	2	4	2	1	1	3	1	1	0
o5	0	2	2	2	4	6	5	0	0	4	0	4	3	6	0	0	1	4	1	3	2	1	0	0	0	4	4	0	1	3	0	4	0	2	1	2	0	2	5	1	1	3	0	0	5	0	1	2	1	0	3	0	1	4	1	0	1	0	1	2	1	2	2	4	1	1	3	1	9	2	3	0	4	3	2	2	0	5	0	1
o6	2	4	0	2	0	1	1	1	0	0	3	0	1	4	6	1	0	2	0	0	1	1	2	0	4	0	0	0	1	1	1	0	3	5	3	0	1	0	4	0	1	0	1	1	1	0	2	0	0	6	3	0	0	4	0	1	0	0	0	2	3	1	2	1	2	0	1	0	0	1	2	3	0	0	1	3	2	6	1	0
o7	2	0	2	1	2	2	1	0	1	3	2	0	0	2	0	0	0	0	4	0	2	6	4	0	0	3	0	3	0	0	3	0	1	5	3	0	0	0	3	3	5	2	2	0	1	0	0	0	3	1	1	4	7	0	3	0	1	0	0	0	2	3	1	3	2	1	0	3	2	6	0	4	5	2	1	1	1	0	0	2
o8	5	0	1	0	4	4	0	0	3	4	1	1	0	0	1	0	2	1	0	1	0	0	1	1	3	0	0	1	0	1	0	3	1	0	2	5	4	1	3	2	0	0	5	0	3	0	0	2	0	2	4	0	3	1	1	3	1	0	0	0	2	1	0	0	0	1	0	0	4	1	2	2	5	3	3	5	1	1	2	1
o9	1	3	1	1	0	2	0	5	2	0	5	1	0	0	0	1	0	5	2	1	0	0	3	0	0	2	0	3	0	0	5	2	2	2	4	2	2	1	0	2	1	0	0	4	0	2	0	0	2	6	3	3	1	2	1	0	3	0	6	0	1	1	1	3	0	5	5	2	3	1	0	2	1	0	5	3	1	0	0	0
