# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49
o0	3.0	2.0	3.0	52.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	13.0	15.0	1.0	4.0	307.0	7.0	1.0	28.0	1.0	3132.0	0.0	1.0	11.0	1.0	0.0	49.0	0.0	0.0	0.0	3.0	0.0	24.0	3.0	15.0	0.0	0.0	0.0	2.0	277.0	5.0	1.0	7.0	0.0	0.0	10.0	128.0	2.0
o1	0.0	0.0	23.0	52.0	1.0	2.0	0.0	0.0	8.0	0.0	0.0	0.0	3.0	0.0	7.0	2.0	0.0	250.0	1.0	1.0	1.0	172.0	3.0	7.0	7.0	0.0	611.0	0.0	2532.0	70.0	0.0	4.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	0.0	8.0	11.0	2.0	4.0
o2	0.0	0.0	16.0	259.0	0.0	13.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	12.0	0.0	0.0	1147.0	5.0	7.0	4.0	17.0	313.0	1.0	0.0	1.0	69.0	0.0	495.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	28.0	20.0	7.0	6.0	0.0	1.0	53.0	14.0	3.0
o3	3537.0	2.0	0.0	1.0	0.0	451.0	4.0	0.0	0.0	0.0	0.0	27.0	0.0	1.0	0.0	0.0	136.0	0.0	138.0	14.0	0.0	0.0	249.0	0.0	5.0	14.0	0.0	1.0	447.0	0.0	5.0	0.0	0.0	22.0	24.0	0.0	5.0	2.0	0.0	52.0	0.0	20.0	5.0	1536.0	28.0	21.0	14.0	4.0	0.0	4.0
o4	0.0	19.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	3.0	1.0	27.0	173.0	1.0	2.0	0.0	0.0	8.0	11.0	0.0	38.0	9.0	32.0	18.0	0.0	1962.0	2.0	19.0	9.0	64.0	24.0	0.0	229.0	2.0	0.0	1.0	6.0	0.0	153.0	0.0	0.0	12.0	0.0	0.0	28.0	124.0
o5	353.0	10.0	0.0	1.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	6.0	2.0	2.0	683.0	0.0	23.0	1.0	0.0	2.0	26.0	0.0	30.0	2.0	3.0	3.0	47.0	199.0	2.0	2.0	5.0	101.0	122.0	0.0	48.0	11.0	1.0	10.0	0.0	3.0	16.0	153.0	3.0	46.0	1.0	0.0	2.0	34.0
o6	0.0	19.0	19.0	0.0	0.0	7.0	74.0	8.0	396.0	0.0	0.0	284.0	4.0	0.0	17.0	36.0	2.0	1.0	0.0	3.0	0.0	1.0	1.0	70.0	1.0	0.0	4.0	0.0	76.0	1.0	1.0	47.0	0.0	733.0	0.0	14.0	60.0	26.0	0.0	41.0	9.0	2.0	0.0	3.0	0.0	1.0	2.0	2.0	0.0	5.0
o7	0.0	8.0	19.0	134.0	42.0	0.0	0.0	6.0	4.0	0.0	0.0	267.0	7.0	1.0	2.0	22.0	3.0	1.0	0.0	3.0	2.0	0.0	7.0	54.0	4.0	0.0	12.0	0.0	2.0	5.0	0.0	48.0	0.0	3.0	7.0	12.0	37.0	2.0	1.0	0.0	51.0	39.0	0.0	4.0	241.0	6.0	0.0	1.0	0.0	0.0
o8	0.0	44.0	91.0	13.0	4.0	0.0	7.0	32.0	45.0	0.0	0.0	1333.0	1.0	0.0	2.0	111.0	12.0	0.0	0.0	14.0	0.0	0.0	1.0	12.0	2.0	0.0	16.0	0.0	9.0	6.0	1.0	237.0	0.0	74.0	0.0	9.0	170.0	4.0	0.0	4.0	34.0	4.0	2.0	19.0	25.0	6.0	0.0	6.0	0.0	1.0
o9	28.0	2.0	0.0	16.0	61.0	31.0	0.0	4.0	0.0	0.0	65.0	0.0	1.0	7.0	5.0	0.0	9.0	6.0	218.0	6.0	4.0	0.0	49.0	231.0	1772.0	1.0	0.0	0.0	0.0	30.0	2.0	0.0	0.0	180.0	0.0	39.0	2.0	2.0	36.0	47.0	1.0	0.0	0.0	7.0	1.0	2.0	2.0	1.0	10.0	0.0
